step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_detections,metrics/test.rmse_detections_pcutoff,metrics/test.rmse_pcutoff
1,,,,,0.00026642123702913523,0.19620785117149353,0.0050384062342345715,0.0050384062342345715,,,,,,
2,,,,,9.272280294680968e-05,0.09113217145204544,0.0023246656637638807,0.0023246656637638807,,,,,,
3,,,,,6.691845192108303e-05,0.06511402875185013,0.0016613099724054337,0.0016613099724054337,,,,,,
4,,,,,6.027991548762657e-05,0.061942920088768005,0.001578712952323258,0.001578712952323258,,,,,,
5,,,,,5.720350964111276e-05,0.05857270583510399,0.00149291951674968,0.00149291951674968,,,,,,
6,,,,,5.446589057100937e-05,0.053879331797361374,0.0013742165174335241,0.0013742165174335241,,,,,,
7,,,,,5.203180626267567e-05,0.051396843045949936,0.0013109368737787008,0.0013109368737787008,,,,,,
8,,,,,4.651296330848709e-05,0.048176128417253494,0.0012276597553864121,0.0012276597553864121,,,,,,
9,,,,,4.153135887463577e-05,0.04524627700448036,0.0011519226245582104,0.0011519226245582104,,,,,,
10,4.503221498453058e-05,0.0822320356965065,0.0020783168729394674,0.0020783168729394674,4.203801654512063e-05,0.04379042610526085,0.0011157798580825329,0.0011157798580825329,87.86856370800214,88.5,3.5601325035095215,3.5601325035095215,3.5526859760284424,3.5526862144470215
11,,,,,4.965186235494912e-05,0.04407705366611481,0.0011267522349953651,0.0011267522349953651,,,,,,
12,,,,,4.6300501708174124e-05,0.04487968608736992,0.0011451424797996879,0.0011451424797996879,,,,,,
13,,,,,3.7246929423417896e-05,0.0400250144302845,0.0010192488553002477,0.0010192488553002477,,,,,,
14,,,,,3.6302350054029375e-05,0.041341181844472885,0.001051680650562048,0.001051680650562048,,,,,,
15,,,,,3.4944372600875795e-05,0.03880888596177101,0.0009876943659037352,0.0009876943659037352,,,,,,
16,,,,,3.9545248000649735e-05,0.039649080485105515,0.001010999665595591,0.001010999665595591,,,,,,
17,,,,,3.43999381584581e-05,0.03654097020626068,0.000930724258068949,0.000930724258068949,,,,,,
18,,,,,3.50312766386196e-05,0.03564641624689102,0.0009086760692298412,0.0009086760692298412,,,,,,
19,,,,,3.6680499761132523e-05,0.03955836594104767,0.001007299404591322,0.001007299404591322,,,,,,
20,3.0484929084195755e-05,0.07159027457237244,0.0018049993086606264,0.0018049993086606264,3.83975675504189e-05,0.0390109084546566,0.0009944714838638902,0.0009944714838638902,90.2136529442418,90.5,2.9928956031799316,2.9928956031799316,2.9636762142181396,2.9636762142181396
21,,,,,3.519954771036282e-05,0.03476417064666748,0.0008867040742188692,0.0008867040742188692,,,,,,
22,,,,,3.682365786517039e-05,0.037291478365659714,0.0009506987407803535,0.0009506987407803535,,,,,,
23,,,,,3.2442956580780447e-05,0.03422479331493378,0.0008718413882888854,0.0008718413882888854,,,,,,
24,,,,,3.406087125767954e-05,0.035895802080631256,0.0009144254727289081,0.0009144254727289081,,,,,,
25,,,,,3.0020903068361804e-05,0.03447568789124489,0.0008769027190282941,0.0008769027190282941,,,,,,
26,,,,,3.265275518060662e-05,0.03276008367538452,0.0008353284792974591,0.0008353284792974591,,,,,,
27,,,,,3.1975647289073095e-05,0.03283759206533432,0.0008369276183657348,0.0008369276183657348,,,,,,
28,,,,,2.9869868740206584e-05,0.03340166434645653,0.0008499766699969769,0.0008499766699969769,,,,,,
29,,,,,2.8837261197622865e-05,0.03188026696443558,0.0008114254451356828,0.0008114254451356828,,,,,,
30,4.07042280130554e-05,0.07040756940841675,0.001780541380867362,0.001780541380867362,2.958563891297672e-05,0.029890859499573708,0.000762064300943166,0.000762064300943166,88.31100757134539,89.0,3.237680196762085,3.237680196762085,3.220914840698242,3.220914840698242
31,,,,,3.0734179745195433e-05,0.03149434179067612,0.0008027256117202342,0.0008027256117202342,,,,,,
32,,,,,3.056322020711377e-05,0.031995825469493866,0.0008151772199198604,0.0008151772199198604,,,,,,
33,,,,,2.6434974643052556e-05,0.02867352031171322,0.0007300555589608848,0.0007300555589608848,,,,,,
34,,,,,2.641313403728418e-05,0.029623547568917274,0.0007537952624261379,0.0007537952624261379,,,,,,
