scorer,,,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa,Elisa
bodyparts,,,UL(Upper_Lid),UL(Upper_Lid),DL(Down_Lid),DL(Down_Lid),LL(Left_Lid),LL(Left_Lid),RL(Right_Lid),RL(Right_Lid),Top,Top,Bottom,Bottom,Left,Left,Right,Right,TR(Top_Right),TR(Top_Right),BR(Bottom_Right),BR(Bottom_Right),BL(Bottom_Left),BL(Bottom_Left),TL(Top_Left),TL(Top_Left),Centre,Centre
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img00284.png,718.9987007299143,182.51880708124813,713.5495706519129,238.62466492141107,669.3510711303458,212.99357159155244,781.1591475456344,233.78099374096533,714.3568491819872,197.655279520141,713.1459313868758,223.2863728499996,698.8167374780571,210.369916368811,727.6769449282128,212.38811269399673,722.8332737477672,201.48985253799384,722.0259952176929,220.6627176272582,703.4585890259843,219.65361946466533,704.8713264536143,200.07711511036388,713.7568737492896,211.18267836374352
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img00350.png,721.8241755851743,182.72062671376668,712.9441117543572,239.23012381896677,669.9565300279014,214.40630901918243,779.3427708529673,230.95551888570532,714.9623080795429,198.05891878517815,711.7331939592457,225.91002807274103,697.8076393154643,210.9753752663667,728.08058419325,212.38811269399673,723.6405522778415,201.48985253799384,722.6314541152486,221.8736354223696,704.2658675560585,221.8736354223696,705.6786049836886,201.2880329054753,713.5495706519129,211.37901453140387
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img00390.png,720.6132577900629,181.50970891865526,713.7513902844314,243.46833610185678,667.7365140701971,215.4154071817753,779.948229750523,233.7809937409653,715.7613614123297,197.25072634429415,715.3741725418673,227.72640476540818,700.0276552731685,211.58083416392245,731.5115179460657,212.58993232651528,728.08058419325,200.480754375401,725.4569289705087,224.29547101259246,702.2476712308728,222.6809139524439,706.2840638812443,200.27893474288243,715.5695947987181,213.4008664998284
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img00422.png,723.0350933802857,180.90425002109953,715.36594734458,243.2665164693382,670.5619889254571,212.99357159155244,778.9391315879302,232.97371521089102,719.60415962747,196.04072245999242,715.1641277120615,231.567375158929,699.0185571105757,211.58083416392245,736.55700875903,214.608128651701,729.2915019883615,200.27893474288243,729.3006410964585,227.5227573112702,700.8321920708138,223.08455321748102,706.0822442487257,199.068016947771,716.9768487614898,214.81086219502927
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img00510.png,723.8423719103602,182.92244634628526,714.5586688145057,238.2210256563739,664.5073999499,214.4063090191825,779.7464101180045,233.37735447592817,719.5922787869438,200.27893474288243,719.613298735567,225.10274954266674,704.06404792354,211.58083416392245,733.5297142712515,213.59903048910815,728.6860430908057,203.50804886317957,727.6769449282128,222.6809139524439,707.6968013088743,219.85543909718388,709.9168172665786,202.70077033310528,719.2014342732425,213.20087468892925
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img00535.png,724.6496504404344,183.1242659788038,718.7968810973957,239.6337630840039,663.2964821547885,214.608128651701,777.5263941603001,232.5700759458539,719.80140970594,199.67347584532672,719.6151265571865,225.71369190508068,705.2740518078417,211.98447342895957,733.1260750062144,212.18629306147815,729.0896823558429,203.10440959814244,731.1188456107452,222.07454114407847,709.7232228313474,222.28367206307468,710.5222761641343,202.90258996562383,719.1977786300037,213.3981247673993
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img00614.png,728.6860430908058,183.93154450887812,715.7695866096171,241.65195940918963,662.4892036247142,214.2044893866639,780.1500493830415,234.99191153607677,722.0259952176929,198.66437768273386,718.7968810973957,229.94642072311245,736.9606480240672,216.62632497688674,702.8531301284286,212.7917519590339,733.73153390377,203.50804886317957,732.7224357411772,226.7173066028153,707.8986209413929,225.30456917518532,709.9168172665786,200.88439364043813,719.60415962747,214.20448938666388
labeled-data,2812_MotionMule_20230911_193102_cam1_00000000,img00806.png,726.8696663981386,181.71152855117384,711.5313743267271,250.3302036074882,667.9383337027158,217.23178387444244,779.1409512204486,233.98281337348385,723.0350933802857,190.3897727494724,713.5495706519129,246.8992698546725,686.1021006293871,215.61722681429387,747.4552689150329,219.85543909718388,738.9788443492529,198.2607384176967,737.7679265541414,236.80828822874392,696.1930822553157,238.42284528889243,699.6240160081314,195.63708319495527,716.5686399424039,218.0363206720876
